,DATE,COUNTRY,TRANSACTIONS,ARRIVALS,LHR_arrivals,non_LHR_arrivals,premium_economy_and_above_arrivals,business_and_above_arrivals,first_arrivals,transactions_non_target,transactions_target,transactions_bronze_and_above,transactions_gold_and_above,transactions_black_and_above,transactions_platinum_and_above,transactions_elite_and_above
251,2023-01-16,Greater China,6124,2102,2022,80,765,451,13,1389.0,4735.0,4593,3750,2387,1103,197
252,2023-01-16,Middle East - GCC,7867,10119,8319,1800,2720,2256,222,1219.0,6648.0,6328,5161,3290,1001,206
253,2023-01-16,North America,2461,43328,39308,4020,10385,5814,169,882.0,1579.0,1404,1015,589,128,9
254,2023-01-16,RO APAC,2756,22983,17510,5473,5004,3567,127,819.0,1937.0,1793,1470,975,410,68
255,2023-01-23,EU,2231,181435,46562,134873,4420,2950,6,509.0,1722.0,1485,1116,736,165,9
256,2023-01-23,Greater China,4647,4424,4337,87,1157,674,18,871.0,3776.0,3744,3113,2022,842,104
257,2023-01-23,Middle East - GCC,6742,11851,9856,1995,2773,2274,201,898.0,5844.0,5440,4492,2711,907,180
258,2023-01-23,North America,1490,45008,41389,3619,10504,6325,227,495.0,995.0,924,646,325,87,8
259,2023-01-23,RO APAC,1562,24970,19171,5799,4726,3456,120,358.0,1204.0,1128,896,573,210,18
260,2023-01-30,EU,2134,182850,49700,133150,4492,3037,11,509.0,1625.0,1388,1057,748,192,19
261,2023-01-30,Greater China,4552,1971,1922,49,606,384,6,848.0,3704.0,3744,3156,1960,826,139
262,2023-01-30,Middle East - GCC,7148,10549,8777,1772,2260,1883,137,1029.0,6119.0,5547,4445,2631,743,202
263,2023-01-30,North America,1483,37319,34364,2955,9445,5921,162,360.0,1123.0,939,637,319,96,28
264,2023-01-30,RO APAC,1699,23189,17477,5712,4288,3244,118,365.0,1334.0,1189,979,655,248,66
265,2023-02-06,EU,2626,200269,53372,146897,5506,3586,10,501.0,2125.0,1801,1348,889,229,42
266,2023-02-06,Greater China,4481,2003,1959,44,743,479,8,723.0,3758.0,3771,3273,2085,840,138
267,2023-02-06,Middle East - GCC,6774,9301,7576,1725,2298,1994,230,1034.0,5740.0,5358,4375,2757,908,228
268,2023-02-06,North America,1469,38748,35648,3100,11075,6786,215,405.0,1064.0,912,630,345,117,24
269,2023-02-06,RO APAC,1629,25607,19211,6396,5139,3850,163,366.0,1263.0,1180,964,656,249,53
270,2023-02-13,EU,2416,217240,54550,162690,4721,3039,12,539.0,1877.0,1603,1238,838,215,13
271,2023-02-13,Greater China,4997,2100,2067,33,589,361,16,855.0,4142.0,4189,3594,2277,1003,200
272,2023-02-13,Middle East - GCC,6318,11262,9290,1972,2552,2147,179,741.0,5577.0,5196,4355,2795,1006,299
273,2023-02-13,North America,1445,39938,36744,3194,8996,5285,166,365.0,1080.0,948,654,385,102,7
274,2023-02-13,RO APAC,1857,26609,19092,7517,4317,3177,135,376.0,1481.0,1321,1133,681,252,48
275,2023-02-20,EU,2099,204955,47837,157118,5687,3263,14,505.0,1594.0,1351,1008,682,164,7
276,2023-02-20,Greater China,4597,1603,1562,41,533,364,12,757.0,3840.0,3872,3286,2189,916,188
277,2023-02-20,Middle East - GCC,6997,9210,7881,1329,2556,2202,257,956.0,6041.0,5778,4855,3263,1309,418
278,2023-02-20,North America,1591,44481,41095,3386,13047,7419,261,462.0,1129.0,998,726,409,78,1
279,2023-02-20,RO APAC,1945,23829,17326,6503,4380,3368,132,334.0,1611.0,1501,1245,790,318,73
280,2023-02-27,EU,2459,221511,59875,161636,5909,3836,12,540.0,1919.0,1627,1262,916,249,24
281,2023-02-27,Greater China,4088,1649,1611,38,624,398,7,711.0,3377.0,3441,2934,1934,814,187
282,2023-02-27,Middle East - GCC,7524,10679,9174,1505,3413,2917,376,1106.0,6418.0,6215,5233,3304,1262,437
283,2023-02-27,North America,1539,41773,38848,2925,12693,7990,227,440.0,1099.0,938,651,325,79,10
284,2023-02-27,RO APAC,1708,24578,17914,6664,5224,4049,163,321.0,1387.0,1312,1057,664,324,51
285,2023-03-06,EU,2460,216031,57132,158899,5203,3471,9,580.0,1880.0,1677,1251,821,238,17
286,2023-03-06,Greater China,4370,2003,1961,42,676,461,12,727.0,3643.0,3756,3235,2142,824,204
287,2023-03-06,Middle East - GCC,8762,14253,12641,1612,3790,3160,404,1290.0,7472.0,7123,5952,3852,1382,415
288,2023-03-06,North America,1630,49313,46350,2963,14466,8644,226,467.0,1163.0,1015,734,390,97,21
289,2023-03-06,RO APAC,1771,27258,20058,7200,5370,4108,184,304.0,1467.0,1344,1114,705,309,48
290,2023-03-13,EU,2404,205465,52046,153419,5389,3480,16,460.0,1944.0,1741,1362,981,258,23
291,2023-03-13,Greater China,4491,2104,2063,41,656,423,19,742.0,3749.0,3815,3280,2109,972,196
292,2023-03-13,Middle East - GCC,10609,12910,11241,1669,3321,2871,309,1542.0,9067.0,8571,7102,4553,1583,347
293,2023-03-13,North America,1859,62131,58194,3937,18716,10276,232,528.0,1331.0,1208,828,446,114,7
294,2023-03-13,RO APAC,1927,26922,19832,7090,5416,4175,141,358.0,1569.0,1397,1121,737,292,42
295,2023-03-20,EU,2463,204219,54714,149505,5620,3470,6,479.0,1984.0,1743,1383,942,251,21
296,2023-03-20,Greater China,4141,2140,2082,58,767,514,6,662.0,3479.0,3570,3063,1958,846,147
297,2023-03-20,Middle East - GCC,8995,8506,7033,1473,1944,1619,193,1262.0,7733.0,7521,6099,3969,1440,392
298,2023-03-20,North America,1866,54024,51477,2547,16351,9274,192,524.0,1342.0,1141,838,429,100,2
299,2023-03-20,RO APAC,1935,27067,19551,7516,5705,4326,203,317.0,1618.0,1533,1285,801,252,34
300,2023-03-27,EU,2445,204108,52317,151791,5239,3289,22,518.0,1927.0,1724,1349,904,268,15
301,2023-03-27,Greater China,4349,2689,2599,90,838,513,24,714.0,3635.0,3741,3156,2027,901,158
302,2023-03-27,Middle East - GCC,3351,8973,7077,1896,1538,1214,94,407.0,2944.0,2922,2502,1569,607,215
303,2023-03-27,North America,1716,56378,53701,2677,16543,9529,204,543.0,1173.0,1024,754,464,116,11
304,2023-03-27,RO APAC,1624,30157,21201,8956,5781,4156,177,296.0,1328.0,1201,999,671,252,29
305,2023-04-03,EU,2394,257562,62596,194966,6039,3265,4,477.0,1917.0,1686,1276,862,220,15
306,2023-04-03,Greater China,4306,7250,6847,403,1441,790,18,715.0,3591.0,3630,3138,2000,913,196
307,2023-04-03,Middle East - GCC,2836,9181,6892,2289,1317,964,85,400.0,2436.0,2506,2168,1426,587,190
308,2023-04-03,North America,1812,75420,70961,4459,17733,9041,160,558.0,1254.0,1049,678,375,103,37
309,2023-04-03,RO APAC,1618,44699,27928,16771,5968,3933,144,282.0,1336.0,1207,991,677,262,53
310,2023-04-10,EU,2034,245923,63662,182261,6236,2915,6,476.0,1558.0,1309,988,636,170,7
311,2023-04-10,Greater China,4008,4131,3821,310,809,436,9,773.0,3235.0,3278,2711,1582,629,95
312,2023-04-10,Middle East - GCC,2089,6725,4885,1840,758,540,45,280.0,1809.0,1842,1597,1004,420,141
313,2023-04-10,North America,1450,67057,62828,4229,16408,7746,159,505.0,945.0,836,576,354,115,11
314,2023-04-10,RO APAC,1839,39809,25256,14553,5555,3747,171,389.0,1450.0,1333,1143,666,287,18
315,2023-04-17,EU,2040,240969,56439,184530,6171,3681,21,509.0,1531.0,1401,1017,662,180,10
316,2023-04-17,Greater China,4078,2963,2715,248,1004,694,14,733.0,3345.0,3392,2872,1793,835,150
317,2023-04-17,Middle East - GCC,2210,8319,6349,1970,1930,1555,135,301.0,1909.0,1961,1683,1136,488,186
318,2023-04-17,North America,1519,57940,53550,4390,19353,11254,258,451.0,1068.0,889,617,371,78,9
319,2023-04-17,RO APAC,1999,33961,19614,14347,6494,5024,217,484.0,1515.0,1396,1169,736,345,33
320,2023-04-24,EU,3302,255466,63749,191717,6591,4162,3,1174.0,2128.0,1841,1406,914,236,14
321,2023-04-24,Greater China,5245,3797,3474,323,1195,755,19,873.0,4372.0,4313,3702,2399,1136,246
322,2023-04-24,Middle East - GCC,5774,17705,15354,2351,4686,3681,377,1209.0,4565.0,4363,3577,2192,816,234
323,2023-04-24,North America,2564,72791,67822,4969,22243,12224,272,1149.0,1415.0,1247,884,480,99,22
324,2023-04-24,RO APAC,2701,41050,25889,15161,8027,5904,296,735.0,1966.0,1851,1526,921,338,45
325,2023-05-01,EU,2636,253808,65183,188625,6483,3868,13,647.0,1989.0,1738,1329,930,278,24
326,2023-05-01,Greater China,4724,5534,5014,520,1539,857,10,799.0,3925.0,4005,3424,2130,901,185
327,2023-05-01,Middle East - GCC,8108,11109,9012,2097,3088,2472,243,1373.0,6735.0,6256,5011,3191,1078,299
328,2023-05-01,North America,1906,64094,59345,4749,18207,9584,223,587.0,1319.0,1128,809,459,103,3
329,2023-05-01,RO APAC,1876,45052,29465,15587,8404,5888,258,484.0,1392.0,1336,1118,675,219,36
330,2023-05-08,EU,2513,258161,55415,202746,5123,3327,4,609.0,1904.0,1598,1170,854,237,30
331,2023-05-08,Greater China,4812,5126,4875,251,1275,795,18,1013.0,3799.0,3930,3329,2012,837,152
332,2023-05-08,Middle East - GCC,6206,11063,8994,2069,2727,2289,216,1196.0,5010.0,4883,3879,2518,900,295
333,2023-05-08,North America,2012,73489,67059,6430,20080,11005,254,733.0,1279.0,1203,851,507,139,12
334,2023-05-08,RO APAC,2244,45674,29431,16243,8600,6046,274,561.0,1683.0,1656,1361,898,286,58
335,2023-05-15,EU,2577,262236,60609,201627,6251,3853,6,665.0,1912.0,1710,1363,926,280,22
336,2023-05-15,Greater China,4853,5229,4921,308,1397,891,23,932.0,3921.0,4101,3579,2271,978,189
337,2023-05-15,Middle East - GCC,6026,12514,10204,2310,3618,3020,274,1133.0,4893.0,4639,3668,2568,865,245
338,2023-05-15,North America,1939,80901,73570,7331,23305,12582,231,742.0,1197.0,1093,770,399,110,20
339,2023-05-15,RO APAC,2046,48728,31703,17025,9660,6550,285,409.0,1637.0,1461,1223,855,413,83
340,2023-05-22,EU,2746,264127,62873,201254,7189,3797,12,534.0,2212.0,1979,1567,1136,348,21
341,2023-05-22,Greater China,4576,5914,5576,338,1601,963,20,830.0,3746.0,3779,3179,2119,907,102
342,2023-05-22,Middle East - GCC,6357,11718,9498,2220,3137,2661,256,1283.0,5074.0,4883,3997,2673,1089,226
343,2023-05-22,North America,2159,92441,83610,8831,26439,13899,241,785.0,1374.0,1295,938,495,115,21
344,2023-05-22,RO APAC,2158,50708,33181,17527,10317,7003,323,465.0,1693.0,1590,1354,959,401,111
345,2023-05-29,EU,3137,253378,57358,196020,6738,3496,5,990.0,2147.0,1941,1474,1009,256,32
346,2023-05-29,Greater China,6255,6308,5957,351,1581,945,15,1410.0,4845.0,4889,4170,2675,1215,180
347,2023-05-29,Middle East - GCC,7370,12621,10325,2296,2964,2361,238,1719.0,5651.0,5397,4368,2948,1119,326
348,2023-05-29,North America,2738,93873,83253,10620,24272,12417,193,1332.0,1406.0,1313,926,524,98,17
349,2023-05-29,RO APAC,3201,55780,36228,19552,10709,7047,364,930.0,2271.0,2169,1794,1275,540,42
350,2023-06-05,EU,2410,261174,54817,206357,6692,3573,-3,609.0,1801.0,1611,1202,807,209,15
351,2023-06-05,Greater China,4880,5711,5404,307,1631,1083,19,931.0,3949.0,3906,3293,2044,940,149
352,2023-06-05,Middle East - GCC,5690,11926,9450,2476,3313,2755,274,1043.0,4647.0,4461,3531,2281,806,249
353,2023-06-05,North America,2130,77479,67847,9632,26054,14324,268,717.0,1413.0,1246,898,524,77,0
354,2023-06-05,RO APAC,2685,56347,35781,20566,11958,8149,352,492.0,2193.0,2021,1591,1160,458,74
355,2023-06-12,EU,2312,271227,57700,213527,6566,3790,6,596.0,1716.0,1624,1257,877,228,13
356,2023-06-12,Greater China,4598,6698,6276,422,2013,1286,30,891.0,3707.0,3747,3217,2074,999,177
357,2023-06-12,Middle East - GCC,5688,14617,12272,2345,3847,3042,285,961.0,4727.0,4618,3800,2532,1032,278
358,2023-06-12,North America,2083,83711,73403,10308,26827,14858,245,647.0,1436.0,1334,1029,574,94,16
359,2023-06-12,RO APAC,2840,60345,39670,20675,12754,8686,340,669.0,2171.0,2110,1806,1135,486,146
360,2023-06-19,EU,2564,272110,57264,214846,6292,3846,1,643.0,1921.0,1745,1361,971,291,41
361,2023-06-19,Greater China,4884,8014,7343,671,2505,1524,27,1013.0,3871.0,3917,3350,2103,934,149
362,2023-06-19,Middle East - GCC,6333,15237,12842,2395,4135,3339,362,1089.0,5244.0,5110,4218,2748,1035,318
363,2023-06-19,North America,2337,89348,78631,10717,28115,15715,227,811.0,1526.0,1379,978,512,134,27
364,2023-06-19,RO APAC,3632,62578,41997,20581,13411,8864,483,902.0,2730.0,2583,2097,1391,534,122
365,2023-06-26,EU,2489,273333,56905,216428,6740,4048,6,604.0,1885.0,1774,1413,1013,278,80
366,2023-06-26,Greater China,4942,9350,8514,836,2934,1806,24,1084.0,3858.0,3919,3280,2161,932,195
367,2023-06-26,Middle East - GCC,8384,25817,22274,3543,6748,5134,536,1241.0,7143.0,7026,5907,3974,1511,387
368,2023-06-26,North America,2508,92313,81473,10840,29356,16935,212,959.0,1549.0,1448,975,532,115,11
369,2023-06-26,RO APAC,3423,64052,43148,20904,13728,9221,382,804.0,2619.0,2568,2078,1322,423,88
370,2023-07-03,EU,2714,288627,61396,227231,7082,4212,-3,678.0,2036.0,1844,1447,940,198,40
371,2023-07-03,Greater China,5322,13402,12007,1395,3908,2227,45,1225.0,4097.0,4216,3561,2369,881,158
372,2023-07-03,Middle East - GCC,12411,22524,20134,2390,6047,4511,409,2099.0,10312.0,10041,8347,5599,1919,480
373,2023-07-03,North America,2721,96201,83098,13103,28472,15688,218,892.0,1829.0,1650,1165,663,175,53
374,2023-07-03,RO APAC,3800,63132,41606,21526,13155,8983,398,874.0,2926.0,2803,2241,1399,462,108
375,2023-07-10,EU,3425,304662,68564,236098,7791,4449,2,1148.0,2277.0,2036,1564,1059,354,73
376,2023-07-10,Greater China,7579,16468,14565,1903,4412,2527,61,2263.0,5316.0,5300,4342,2754,1274,337
377,2023-07-10,Middle East - GCC,13548,19013,17496,1517,5879,4306,419,2594.0,10954.0,10954,9126,6472,2358,512
378,2023-07-10,North America,3611,90755,77565,13190,29032,16066,274,1550.0,2061.0,1988,1437,784,177,4
379,2023-07-10,RO APAC,4575,63962,41417,22545,12734,8587,317,1382.0,3193.0,2960,2404,1519,506,76
380,2023-07-17,EU,2414,294363,62954,231409,6665,4008,1,640.0,1774.0,1628,1276,807,206,13
381,2023-07-17,Greater China,5311,17823,15959,1864,4376,2549,33,1517.0,3794.0,3752,3037,1781,705,108
382,2023-07-17,Middle East - GCC,12258,19367,17817,1550,6173,4649,459,2057.0,10201.0,10144,8413,5884,2140,576
383,2023-07-17,North America,2722,82186,70828,11358,25314,14235,260,1009.0,1713.0,1699,1185,657,198,61
384,2023-07-17,RO APAC,3597,63839,40878,22961,11895,8050,292,969.0,2628.0,2536,2036,1196,353,49
385,2023-07-24,EU,2698,291040,61772,229268,5349,3132,4,1067.0,1631.0,1495,1209,785,222,60
386,2023-07-24,Greater China,6731,18371,16479,1892,3890,2395,29,2309.0,4422.0,4666,3757,2354,933,139
387,2023-07-24,Middle East - GCC,16101,19361,17879,1482,5821,4373,409,3462.0,12639.0,12887,10743,7543,2663,602
388,2023-07-24,North America,3140,83148,71807,11341,21647,12160,192,1410.0,1730.0,1688,1204,573,113,5
389,2023-07-24,RO APAC,4143,61737,38266,23471,10200,6755,225,1528.0,2615.0,2663,2024,1176,350,56
390,2023-07-31,EU,2001,285000,58016,226984,5534,3100,6,477.0,1524.0,1353,1080,719,206,25
391,2023-07-31,Greater China,3947,17403,15420,1983,3585,2195,24,1075.0,2872.0,3061,2528,1519,674,132
392,2023-07-31,Middle East - GCC,13977,19683,18147,1536,5330,3846,300,2442.0,11535.0,11721,9782,6905,2450,619
393,2023-07-31,North America,1882,75760,65238,10522,18676,10448,175,652.0,1230.0,1144,810,357,73,5
394,2023-07-31,RO APAC,2174,59013,35666,23347,9222,5796,160,494.0,1680.0,1528,1258,694,272,57
395,2023-08-07,EU,1792,293654,59124,234530,5874,2992,6,485.0,1307.0,1152,893,594,160,5
396,2023-08-07,Greater China,3841,17223,15313,1910,3427,2044,46,1001.0,2840.0,2924,2442,1580,753,110
397,2023-08-07,Middle East - GCC,15275,22398,19945,2453,6171,4360,355,2311.0,12964.0,13002,11150,8005,2737,669
398,2023-08-07,North America,1847,77952,67707,10245,18908,10409,142,610.0,1237.0,1177,850,423,85,5
399,2023-08-07,RO APAC,2083,58665,34645,24020,9173,5662,191,533.0,1550.0,1474,1232,858,396,70
400,2023-08-14,EU,1630,282005,55742,226263,5734,2968,3,384.0,1246.0,1057,794,592,157,4
401,2023-08-14,Greater China,3579,13107,11639,1468,2766,1678,26,821.0,2758.0,2893,2406,1513,644,107
402,2023-08-14,Middle East - GCC,17176,17109,15621,1488,5186,3815,291,2516.0,14660.0,14504,12351,8614,3105,718
403,2023-08-14,North America,1675,74544,65085,9459,16954,9491,180,518.0,1157.0,1032,731,386,95,5
404,2023-08-14,RO APAC,1647,53702,31657,22045,8767,5661,173,381.0,1266.0,1176,972,706,393,169
405,2023-08-21,EU,1780,266675,51039,215636,5432,2750,6,487.0,1293.0,1154,892,602,176,27
406,2023-08-21,Greater China,3259,8160,7283,877,2027,1216,20,841.0,2418.0,2685,2134,1435,597,74
407,2023-08-21,Middle East - GCC,18123,13491,12432,1059,4272,3325,322,2572.0,15551.0,15375,13046,9182,3132,828
408,2023-08-21,North America,1761,71542,62080,9462,18158,10066,221,557.0,1204.0,1169,786,373,104,10
409,2023-08-21,RO APAC,1514,49261,28853,20408,8539,5998,209,382.0,1132.0,1107,930,622,247,89
410,2023-08-28,EU,1530,238570,45427,193143,4920,2481,7,458.0,1072.0,994,775,542,180,24
411,2023-08-28,Greater China,3482,7129,6441,688,1985,1353,23,717.0,2765.0,3016,2489,1616,705,59
412,2023-08-28,Middle East - GCC,16054,10221,9499,722,3295,2542,209,2435.0,13619.0,13666,11706,8274,3016,809
413,2023-08-28,North America,1778,64275,56019,8256,17922,9558,253,556.0,1222.0,1217,784,479,113,38
414,2023-08-28,RO APAC,1431,45069,26376,18693,8474,5891,207,322.0,1109.0,1068,868,551,235,108
415,2023-09-04,EU,1965,238154,41636,196518,5652,3498,2,415.0,1550.0,1434,1160,846,254,19
416,2023-09-04,Greater China,3662,7387,6547,840,2259,1617,37,764.0,2898.0,3018,2506,1728,753,150
417,2023-09-04,Middle East - GCC,11664,9033,8295,738,3705,3079,232,1628.0,10036.0,10040,8540,6017,2352,703
418,2023-09-04,North America,1610,68874,60273,8601,22239,11834,225,558.0,1052.0,1033,665,425,125,19
419,2023-09-04,RO APAC,1695,47221,27946,19275,10826,7746,322,312.0,1383.0,1287,1034,664,264,74
420,2023-09-11,EU,2240,254543,54246,200297,6299,4019,17,506.0,1734.0,1682,1289,931,222,16
421,2023-09-11,Greater China,3933,8717,8008,709,2496,1627,35,799.0,3134.0,3194,2701,1780,789,107
422,2023-09-11,Middle East - GCC,10129,12204,11534,670,4538,3749,252,1440.0,8689.0,8343,7032,4840,1943,539
423,2023-09-11,North America,1605,77051,67303,9748,27143,15323,343,588.0,1017.0,1035,746,482,104,17
424,2023-09-11,RO APAC,2047,54529,34534,19995,12757,8983,373,444.0,1603.0,1636,1276,789,274,77
425,2023-09-18,EU,2379,241795,51333,190462,6033,3957,8,530.0,1849.0,1778,1450,1006,309,29
426,2023-09-18,Greater China,4161,8628,7786,842,2682,1806,19,910.0,3251.0,3536,3025,1978,761,116
427,2023-09-18,Middle East - GCC,8784,12835,12128,707,4355,3448,322,1163.0,7621.0,7430,6308,4374,1544,422
428,2023-09-18,North America,1678,81326,71108,10218,25620,13770,276,601.0,1077.0,1044,752,472,129,31
429,2023-09-18,RO APAC,2325,55412,36369,19043,12016,8296,363,668.0,1657.0,1748,1459,942,373,170
430,2023-09-25,EU,2578,230982,50661,180321,5943,3829,1,600.0,1978.0,1898,1524,1023,253,25
431,2023-09-25,Greater China,4575,8938,7985,953,2548,1710,32,971.0,3604.0,3843,3224,2178,815,143
432,2023-09-25,Middle East - GCC,8902,13872,13120,752,4524,3671,341,1415.0,7487.0,7370,6109,4167,1653,459
433,2023-09-25,North America,1842,73540,64742,8798,22577,12536,209,664.0,1178.0,1231,810,455,75,21
434,2023-09-25,RO APAC,2254,50804,33239,17565,10486,7232,288,511.0,1743.0,1743,1434,831,239,40
435,2023-10-02,EU,3091,244404,55739,188665,6521,3993,1,1011.0,2080.0,1950,1525,965,188,21
436,2023-10-02,Greater China,7029,11994,10730,1264,3238,2022,46,2092.0,4937.0,5326,4439,2926,1120,187
437,2023-10-02,Middle East - GCC,11131,12051,11416,635,3549,2878,265,2137.0,8994.0,8595,7095,4860,1707,426
438,2023-10-02,North America,2936,73647,65476,8171,22907,12828,204,1333.0,1603.0,1543,1035,521,98,17
439,2023-10-02,RO APAC,3059,47952,31165,16787,9509,6722,238,1113.0,1946.0,1952,1477,934,315,56
440,2023-10-09,EU,2559,272669,57801,214868,6072,4015,6,546.0,2013.0,1835,1388,1028,248,26
441,2023-10-09,Greater China,5359,7114,6288,826,1870,1204,26,1217.0,4142.0,4316,3558,2495,1041,187
442,2023-10-09,Middle East - GCC,7515,12367,10883,1484,3307,2783,244,1277.0,6238.0,6199,5044,3459,1180,266
443,2023-10-09,North America,2135,79032,71169,7863,23321,13097,293,689.0,1446.0,1359,959,520,89,25
444,2023-10-09,RO APAC,2067,44214,28627,15587,8461,6357,263,569.0,1498.0,1484,1201,806,253,39
445,2023-10-16,EU,2799,262759,61261,201498,6234,4301,-2,635.0,2164.0,1988,1598,1116,314,41
446,2023-10-16,Greater China,4644,6680,6052,628,1701,1062,24,897.0,3747.0,3848,3236,2217,832,163
447,2023-10-16,Middle East - GCC,7477,14391,12781,1610,3728,3150,245,1144.0,6333.0,6218,5143,3742,1352,285
448,2023-10-16,North America,1928,68786,62764,6022,20983,12022,233,607.0,1321.0,1211,868,550,185,37
449,2023-10-16,RO APAC,1988,39166,25657,13509,7320,5512,223,485.0,1503.0,1402,1146,738,275,64
450,2023-10-23,EU,2485,254946,61513,193433,5700,3709,2,555.0,1930.0,1768,1457,1029,297,51
451,2023-10-23,Greater China,4582,6829,6239,590,1572,963,14,981.0,3601.0,3739,3236,2171,878,153
452,2023-10-23,Middle East - GCC,7642,14950,13548,1402,3546,2895,274,1385.0,6257.0,6221,5018,3335,1278,271
453,2023-10-23,North America,2011,62514,57337,5177,16676,9677,231,671.0,1340.0,1225,879,536,157,19
454,2023-10-23,RO APAC,2032,36947,24113,12834,6143,4577,176,457.0,1575.0,1462,1224,906,350,47
455,2023-10-30,EU,4286,234263,63032,171231,6929,4116,14,1650.0,2636.0,2499,1879,1185,377,19
456,2023-10-30,Greater China,5938,4209,3938,271,1153,722,14,1602.0,4336.0,4539,3850,2740,1106,200
457,2023-10-30,Middle East - GCC,9706,10279,9031,1248,2642,2227,207,1807.0,7899.0,7445,5932,3800,1298,309
458,2023-10-30,North America,2474,44427,40867,3560,12733,7665,171,1015.0,1459.0,1335,957,549,111,2
459,2023-10-30,RO APAC,2744,28910,19505,9405,5402,4051,156,813.0,1931.0,1902,1556,1017,330,54
460,2023-11-06,EU,3212,234507,70480,164027,6001,4220,11,895.0,2317.0,2168,1623,1163,273,16
461,2023-11-06,Greater China,4258,4786,4209,577,1300,875,33,916.0,3342.0,3547,3048,2141,832,144
462,2023-11-06,Middle East - GCC,7003,12888,11587,1301,3917,3307,297,1079.0,5924.0,5770,4877,3179,1153,317
463,2023-11-06,North America,1753,45811,42030,3781,16165,9866,188,575.0,1178.0,1122,819,493,66,2
464,2023-11-06,RO APAC,1823,31246,23014,8232,6187,4604,147,443.0,1380.0,1322,1096,722,271,26
465,2023-11-13,EU,2823,232672,67332,165340,6066,4249,7,724.0,2099.0,1977,1578,1086,214,14
466,2023-11-13,Greater China,4349,4550,4053,497,1091,689,22,897.0,3452.0,3744,3216,2481,948,134
467,2023-11-13,Middle East - GCC,6781,14059,12487,1572,3581,3020,298,1047.0,5734.0,5442,4603,2993,1167,267
468,2023-11-13,North America,1843,52563,48789,3774,16762,10317,253,597.0,1246.0,1164,859,485,57,0
469,2023-11-13,RO APAC,1757,33057,24552,8505,6218,4467,149,402.0,1355.0,1288,1091,722,264,68
470,2023-11-20,EU,2985,228807,69183,159624,6099,4358,13,685.0,2300.0,2112,1663,1125,308,39
471,2023-11-20,Greater China,4534,4646,4084,562,1182,810,28,837.0,3697.0,3854,3365,2379,946,153
472,2023-11-20,Middle East - GCC,8076,25870,23441,2429,5809,4563,405,1374.0,6702.0,6355,5205,3485,1246,306
473,2023-11-20,North America,1985,62115,57951,4164,17142,9876,193,580.0,1405.0,1295,966,518,89,1
474,2023-11-20,RO APAC,1687,31692,23271,8421,6284,4732,163,443.0,1244.0,1237,1027,687,245,60
475,2023-11-27,EU,4865,215627,74807,140820,6460,4692,9,2001.0,2864.0,2689,2067,1456,377,34
476,2023-11-27,Greater China,6984,4737,4195,542,1162,746,15,1766.0,5218.0,5477,4727,3266,1276,229
477,2023-11-27,Middle East - GCC,13463,19782,18221,1561,4788,3797,361,3239.0,10224.0,9455,7395,4573,1596,284
478,2023-11-27,North America,3174,51569,48385,3184,14510,8639,199,1407.0,1767.0,1740,1319,807,186,28
479,2023-11-27,RO APAC,2867,29710,22446,7264,6246,4594,189,955.0,1912.0,1905,1528,1071,401,64
480,2023-12-04,EU,3760,250058,76139,173919,7213,4976,16,990.0,2770.0,2489,1934,1304,303,25
481,2023-12-04,Greater China,4674,4557,3935,622,1071,743,20,881.0,3793.0,3983,3508,2478,1001,143
482,2023-12-04,Middle East - GCC,11179,18394,16472,1922,4853,3857,417,2178.0,9001.0,8647,6771,4403,1655,440
483,2023-12-04,North America,2111,50338,47000,3338,18039,11401,332,631.0,1480.0,1386,1071,699,157,9
484,2023-12-04,RO APAC,1886,31794,23325,8469,6429,4536,213,485.0,1401.0,1437,1161,759,242,51
485,2023-12-11,EU,4168,274315,83354,190961,7437,5658,3,1325.0,2843.0,2741,2176,1449,345,28
486,2023-12-11,Greater China,4995,5794,4992,802,1235,821,26,992.0,4003.0,4334,3724,2587,994,130
487,2023-12-11,Middle East - GCC,9815,16610,14261,2349,4677,3760,404,1722.0,8093.0,7852,6373,4356,1607,411
488,2023-12-11,North America,2388,47688,44693,2995,15595,9606,233,748.0,1640.0,1555,1136,663,161,10
489,2023-12-11,RO APAC,2144,35993,26965,9028,6772,4679,159,468.0,1676.0,1622,1407,978,330,90
490,2023-12-18,EU,3958,263280,71446,191834,5404,4058,5,1054.0,2904.0,2768,2178,1519,395,49
491,2023-12-18,Greater China,5133,9354,8145,1209,2003,1172,27,1039.0,4094.0,4337,3709,2607,1123,132
492,2023-12-18,Middle East - GCC,10592,23318,20106,3212,6173,4720,494,1726.0,8866.0,8572,7171,5052,1949,579
493,2023-12-18,North America,2306,65747,61478,4269,18048,10223,224,687.0,1619.0,1493,1020,634,153,9
494,2023-12-18,RO APAC,2530,46158,35039,11119,8417,5807,259,637.0,1893.0,1950,1602,1053,394,96
495,2023-12-25,EU,3184,246531,66214,180317,5459,3209,2,780.0,2404.0,2263,1681,1126,251,29
496,2023-12-25,Greater China,5482,9916,8495,1421,2028,1170,48,1105.0,4377.0,4409,3674,2410,1132,155
497,2023-12-25,Middle East - GCC,12101,23594,20434,3160,5138,3873,346,2020.0,10081.0,9641,8111,5520,2216,631
498,2023-12-25,North America,2890,73532,68145,5387,21651,11552,208,892.0,1998.0,1958,1439,916,265,43
